id,target
1,True
2,True
3,True
4,True
5,True
6,True
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,True
17,False
18,True
19,False
20,False
21,False
22,False
23,False
24,True
25,True
26,False
27,False
28,False
29,False
30,True
31,False
32,False
33,True
34,False
35,True
36,False
37,True
38,False
39,False
40,True
41,False
42,True
43,True
44,True
45,False
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,True
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,True
62,False
63,True
64,True
65,True
66,True
67,False
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,True
77,False
78,False
79,False
80,True
81,False
82,False
83,False
84,True
85,True
86,True
87,False
88,False
89,True
90,True
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,False
115,False
116,False
117,False
118,False
119,False
120,False
121,False
122,False
123,False
124,False
125,False
126,False
127,False
128,False
129,False
130,False
131,False
132,False
133,True
134,False
135,False
136,False
137,False
138,False
139,False
140,False
141,False
142,False
143,False
144,False
145,False
146,False
147,True
148,False
149,False
150,True
151,False
152,False
153,False
154,False
155,False
156,False
157,False
158,True
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,False
167,True
168,True
169,True
170,True
171,False
172,True
173,True
174,False
175,True
176,False
177,True
178,True
179,True
180,True
181,True
182,False
183,False
184,True
185,True
186,False
187,False
188,False
189,True
190,True
191,False
192,False
193,True
194,False
195,False
196,False
197,True
198,True
199,True
200,True
201,True
202,False
203,False
204,False
205,True
206,False
207,False
208,True
209,False
210,False
211,False
212,True
213,False
214,False
215,True
216,False
217,False
218,True
219,True
220,True
221,True
222,True
223,False
224,False
225,False
226,True
227,True
228,True
229,True
230,False
231,False
232,False
233,False
234,False
235,False
236,False
237,False
238,False
239,True
240,False
241,False
242,False
243,False
244,True
245,True
246,False
247,False
248,False
249,False
250,True
251,False
252,False
253,False
254,False
255,False
256,False
257,True
258,True
259,True
260,False
261,True
262,True
263,True
264,True
265,True
266,True
267,True
268,True
269,True
270,True
271,True
272,False
273,True
274,True
275,True
276,False
277,True
278,False
279,False
280,True
281,True
282,True
283,True
284,True
285,True
286,True
287,True
288,False
289,True
290,False
291,False
292,False
293,False
294,True
295,False
296,False
297,False
298,False
299,True
300,False
301,False
302,False
303,False
304,False
305,False
306,False
307,False
308,False
309,False
310,False
311,False
312,False
313,True
314,False
315,False
316,False
317,True
318,False
319,True
320,False
321,False
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,False
332,False
333,False
334,False
335,False
336,False
337,False
338,False
339,False
340,False
341,False
342,False
343,False
344,False
345,False
346,False
347,False
348,False
349,False
350,False
351,True
352,False
353,True
354,False
355,False
356,True
357,False
358,False
359,False
360,False
361,False
362,False
363,False
364,False
365,False
366,False
367,False
368,False
369,False
370,False
371,False
372,False
373,True
374,False
375,False
376,False
377,False
378,False
379,False
380,False
381,False
382,False
383,False
384,False
385,False
386,False
387,False
388,False
389,False
390,False
391,False
392,True
393,False
394,False
395,False
396,False
397,True
398,False
399,False
400,False
401,False
402,False
403,False
404,False
405,False
406,False
407,False
408,False
409,False
410,False
411,False
412,False
413,False
414,False
415,False
416,False
417,False
418,True
419,False
420,False
421,False
422,False
423,False
424,False
425,True
426,False
427,False
428,False
429,False
430,False
431,False
432,False
433,False
434,False
435,False
436,False
437,False
438,False
439,False
440,False
441,False
442,False
